source_row_key,population_group,geography_level,region_name,province_huc_code,province_huc_name,place_type,food_group_code,source_variable,food_name,rank,percent_consuming,mean_intake_g,sample_size,weighted_population,relative_to_national,survey_years
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:OTHER_FRUITS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,OTHER_FRUITS,epwt_fg13,Other Fruits,13,5.519041,7.569268,3302,308677.549,0.525714,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:CONDIMENTS_SPICES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,CONDIMENTS_SPICES,epwt_fg26,Condiments and Spices,14,13.608126,1.003343,3302,308677.549,0.573896,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:POULTRY,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,POULTRY,epwt_fg17,Poultry,15,3.301735,2.294939,3302,308677.549,0.113815,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:MEAT_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,MEAT_PRODUCTS,epwt_fg16,Meat and Meat Products,16,2.423857,2.409469,3302,308677.549,0.060146,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:CORN_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,CORN_PRODUCTS,epwt_fg3,Corn and Products,17,1.81166,0.700153,3302,308677.549,0.089264,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:OTHER_MISCELLANEOUS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,OTHER_MISCELLANEOUS,epwt_fg27,Other Miscellaneous,18,0.863383,0.415023,3302,308677.549,0.203368,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:VITAMIN_C_RICH_FRUITS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,VITAMIN_C_RICH_FRUITS,epwt_fg12,Vitamin C-Rich Fruits,19,0.975046,0.18797,3302,308677.549,0.07355,2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Tawi-Tawi:MILK_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,110,Tawi-Tawi,PROVINCE_OR_HUC,MILK_PRODUCTS,epwt_fg21,Milk Products,20,0.022566,0.001918,3302,308677.549,0.000813,2021
PROVINCE_HUC:Bicol Region:Albay:RICE_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bicol Region,31,Albay,PROVINCE_OR_HUC,RICE_PRODUCTS,epwt_fg2,Rice and Products,1,99.441409,212.976583,1853,701515.229,0.970809,2021
PROVINCE_HUC:Bicol Region:Albay:OTHER_CEREAL_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bicol Region,31,Albay,PROVINCE_OR_HUC,OTHER_CEREAL_PRODUCTS,epwt_fg4,Other Cereal Products,2,70.281566,59.812346,1853,701515.229,1.346324,2021
